43,26
35,32
41,43
33,36
44,3
52,55
45,14
33,15
42,29
46,9
76,61
72,12
84,35
64,33
80,6
80,17
74,49
72,0
73,104
81,69
126,83
113,30
116,0
119,20
128,86
122,84
101,95
113,39
137,83
119,14
145,27
151,91
155,74
143,117
162,152
157,152
164,47
173,127
159,9
172,85
202,72
199,228
182,177
188,101
203,51
207,101
203,95
225,35
199,116
182,24
266,83
253,176
244,68
226,73
253,78
229,68
266,11
244,30
230,157
244,106
276,155
257,173
292,181
269,7
294,267
295,172
288,148
265,163
283,57
276,275
308,119
313,346
337,356
321,254
331,324
290,138
312,366
332,259
312,234
328,100
367,342
333,134
381,220
386,313
349,132
373,131
357,62
373,100
334,284
359,221
395,116
370,28
416,203
398,253
407,586
388,132
384,247
403,189
400,9
406,39
